verb_id,expected_text_label
n5_v_0223,TO GRILL
n5_v_0224,TO PREPARE (LESSONS)
n5_v_0225,TO GET DIRTY
n5_v_0226,TO REFUSE
n5_v_0227,TO DISTRIBUTE
n5_v_0228,TO CONTACT
n5_v_0229,TO OVERFLOW
n5_v_0230,TO FLOAT
n5_v_0231,TO BREAK
n5_v_0232,TO DROWN
n5_v_0233,TO CHEW
n5_v_0234,TO FREEZE
n5_v_0235,TO RUB
n5_v_0236,TO STRAIN
n5_v_0237,TO BREAK (INTRANSITIVE)
n5_v_0238,TO TEAR
n5_v_0239,TO SQUEEZE
n5_v_0240,TO SINK
n5_v_0241,TO DYE (HAIR)
n5_v_0242,TO SHAVE
n5_v_0243,TO RINSE
n5_v_0244,TO BEAT
n5_v_0245,TO FALL OVER
n5_v_0246,TO DRIP
n5_v_0247,TO GET STUCK
n5_v_0248,TO FLY
n5_v_0249,TO MELT
n5_v_0250,TO COMB (HAIR)
n5_v_0251,TO FLOW
n5_v_0252,TO LINE UP
n5_v_0253,TO BOIL
n5_v_0254,TO SEW
n5_v_0255,TO APPLY (MEDICINE
n5_v_0256,TO SWALLOW
n5_v_0257,TO SPIT OUT
n5_v_0258,TO PEEL
n5_v_0259,TO TIE (HAIR
n5_v_0260,TO STEAM
n5_v_0261,TO MASSAGE
n5_v_0262,TO TEAR
n5_v_0263,TO SHAKE
n5_v_0264,TO RESOUND
n5_v_0265,TO SHINE
n5_v_0266,TO SCRATCH
n5_v_0267,TO GRIND
n5_v_0268,TO BANDAGE
n5_v_0269,TO BURN
n5_v_0270,TO DISAPPEAR
n5_v_0271,TO RUB
