Verb ID,Kanji,Kana,Meaning,Bing Prompt
n5_v_0063,引く,ひく,to pull,"simple minimalist illustration of to pull, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0064,降る,ふる,to fall (rain/snow),"simple minimalist illustration of to fall (rain/snow), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0065,曲がる,まがる,to turn,"simple minimalist illustration of to turn, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0066,待つ,まつ,to wait,"simple minimalist illustration of to wait, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0067,回す,まわす,to turn,"simple minimalist illustration of to turn, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0068,持つ,もつ,to hold,"simple minimalist illustration of to hold, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0069,持って行く,もっていく,to take (something),"simple minimalist illustration of to take (something), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0070,もらう,もらう,to receive,"simple minimalist illustration of to receive, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0071,役に立つ,やくにたつ,to be useful,"simple minimalist illustration of to be useful, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0072,休む,やすむ,to rest,"simple minimalist illustration of to rest, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0073,呼ぶ,よぶ,to call,"simple minimalist illustration of to call, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0074,読む,よむ,to read,"simple minimalist illustration of to read, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0075,分かる,わかる,to understand,"simple minimalist illustration of to understand, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0076,渡る,わたる,to cross,"simple minimalist illustration of to cross, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0077,開ける,あける,to open,"simple minimalist illustration of to open, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0078,上げる,あげる,to give,"simple minimalist illustration of to give, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0079,集める,あつめる,to collect,"simple minimalist illustration of to collect, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0080,浴びる,あびる,to bathe,"simple minimalist illustration of to bathe, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0081,いる,いる,to exist (animate),"simple minimalist illustration of to exist (animate), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0082,入れる,いれる,to put in,"simple minimalist illustration of to put in, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0083,生まれる,うまれる,to be born,"simple minimalist illustration of to be born, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0084,起きる,おきる,to get up,"simple minimalist illustration of to get up, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0085,教える,おしえる,to teach; to tell,"simple minimalist illustration of to teach; to tell, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0086,覚える,おぼえる,to memorize,"simple minimalist illustration of to memorize, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0087,降りる,おりる,to get off,"simple minimalist illustration of to get off, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0088,変える,かえる,to change,"simple minimalist illustration of to change, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0089,かける,かける,to put on,"simple minimalist illustration of to put on, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0090,借りる,かりる,to borrow,"simple minimalist illustration of to borrow, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0091,考える,かんがえる,to think,"simple minimalist illustration of to think, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0092,着る,きる,to wear,"simple minimalist illustration of to wear, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0093,気をつける,きをつける,to be careful,"simple minimalist illustration of to be careful, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0094,くれる,くれる,to give (to me/us),"simple minimalist illustration of to give (to me/us), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0095,閉める,しめる,to close,"simple minimalist illustration of to close, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0096,調べる,しらべる,to investigate,"simple minimalist illustration of to investigate, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0097,捨てる,すてる,to throw away,"simple minimalist illustration of to throw away, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0098,食べる,たべる,to eat,"simple minimalist illustration of to eat, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0099,足りる,たりる,to be enough,"simple minimalist illustration of to be enough, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0100,疲れる,つかれる,to get tired,"simple minimalist illustration of to get tired, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0101,つける,つける,to turn on,"simple minimalist illustration of to turn on, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0102,出かける,でかける,to go out,"simple minimalist illustration of to go out, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0103,できる,できる,to be able to,"simple minimalist illustration of to be able to, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0104,出る,でる,to leave,"simple minimalist illustration of to leave, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0105,止める,とめる,to stop,"simple minimalist illustration of to stop, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0106,寝る,ねる,to sleep,"simple minimalist illustration of to sleep, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0107,乗り換える,のりかえる,to transfer,"simple minimalist illustration of to transfer, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0108,始める,はじめる,to start,"simple minimalist illustration of to start, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0109,負ける,まける,to lose,"simple minimalist illustration of to lose, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0110,見せる,みせる,to show,"simple minimalist illustration of to show, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0111,見る,みる,to see,"simple minimalist illustration of to see, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0112,迎える,むかえる,to welcome,"simple minimalist illustration of to welcome, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0113,辞める,やめる,to quit,"simple minimalist illustration of to quit, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0114,忘れる,わすれる,to forget,"simple minimalist illustration of to forget, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0115,来る,くる,to come,"simple minimalist illustration of to come, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0116,する,する,to do,"simple minimalist illustration of to do, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0117,案内する,あんないする,to guide,"simple minimalist illustration of to guide, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0118,運転する,うんてんする,to drive,"simple minimalist illustration of to drive, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0119,買い物する,かいものする,to go shopping,"simple minimalist illustration of to go shopping, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0120,結婚する,けっこんする,to marry,"simple minimalist illustration of to marry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0121,見学する,けんがくする,to tour,"simple minimalist illustration of to tour, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0122,研究する,けんきゅうする,to research,"simple minimalist illustration of to research, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0123,コピーする,コピーする,to copy,"simple minimalist illustration of to copy, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0124,散歩する,さんぽする,to take a walk,"simple minimalist illustration of to take a walk, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0125,残業する,ざんぎょうする,to work overtime,"simple minimalist illustration of to work overtime, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0126,修理する,しゅうりする,to repair,"simple minimalist illustration of to repair, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0127,違う,ちがう,to be different,"simple minimalist illustration of to be different, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0128,出張する,しゅっちょうする,to go on a business trip,"simple minimalist illustration of to go on a business trip, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0129,仕事する,しごとする,to work,"simple minimalist illustration of to work, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0130,紹介する,しょうかいする,to introduce,"simple minimalist illustration of to introduce, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0131,始まる,はじまる,to begin,"simple minimalist illustration of to begin, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0132,食事する,しょくじする,to have a meal,"simple minimalist illustration of to have a meal, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0133,戻る,もどる,to return,"simple minimalist illustration of to return, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0134,心配する,しんぱいする,to worry,"simple minimalist illustration of to worry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0135,ドライブする,どらいぶする,to drive (for pleasure),"simple minimalist illustration of to drive (for pleasure), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0136,説明する,せつめいする,to explain,"simple minimalist illustration of to explain, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0137,発表する,はっぴょうする,to announce,"simple minimalist illustration of to announce, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0138,洗濯する,せんたくする,to do laundry,"simple minimalist illustration of to do laundry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0139,答える,こたえる,to answer,"simple minimalist illustration of to answer, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0140,掃除する,そうじする,to clean,"simple minimalist illustration of to clean, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0141,助かる,たすかる,to be saved,"simple minimalist illustration of to be saved, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0142,電話する,でんわする,to call,"simple minimalist illustration of to call, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0143,並べる,ならべる,to arrange,"simple minimalist illustration of to arrange, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0144,勉強する,べんきょうする,to study,"simple minimalist illustration of to study, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0145,化粧する,けしょうする,to put on makeup,"simple minimalist illustration of to put on makeup, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0146,予約する,よやくする,to reserve,"simple minimalist illustration of to reserve, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0147,決める,きめる,to decide,"simple minimalist illustration of to decide, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0148,留学する,りゅうがくする,to study abroad,"simple minimalist illustration of to study abroad, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0149,笑う,わらう,to laugh,"simple minimalist illustration of to laugh, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0150,連れて来る,つれてくる,to bring (someone),"simple minimalist illustration of to bring (someone), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0151,泣く,なく,to cry,"simple minimalist illustration of to cry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0152,持って来る,もってくる,to bring (something),"simple minimalist illustration of to bring (something), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0153,けんかする,けんかする,to fight,"simple minimalist illustration of to fight, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0154,走る,はしる,to run,"simple minimalist illustration of to run, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0155,踊る,おどる,to dance,"simple minimalist illustration of to dance, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0156,休憩する,きゅうけいする,to take a break,"simple minimalist illustration of to take a break, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0157,死ぬ,しぬ,to die,"simple minimalist illustration of to die, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0158,旅行する,りょこうする,to travel,"simple minimalist illustration of to travel, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0159,伺う,うかがう,to visit (humble),"simple minimalist illustration of to visit (humble), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0160,料理する,りょうりする,to cook,"simple minimalist illustration of to cook, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0161,茹でる,ゆでる,to boil (food),"simple minimalist illustration of to boil (food), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0162,沸く,わく,to boil (water),"simple minimalist illustration of to boil (water), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0163,遅れる,おくれる,to be late,"simple minimalist illustration of to be late, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0164,干す,ほす,to dry,"simple minimalist illustration of to dry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0165,咲く,さく,to bloom,"simple minimalist illustration of to bloom, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0166,守る,まもる,to protect,"simple minimalist illustration of to protect, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0168,空く,すく,to be empty,"simple minimalist illustration of to be empty, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0169,飼う,かう,to keep,"simple minimalist illustration of to keep, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0170,気にする,きにする,to care about,"simple minimalist illustration of to care about, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0171,準備する,じゅんびする,to prepare,"simple minimalist illustration of to prepare, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0172,喜ぶ,よろこぶ,to be pleased,"simple minimalist illustration of to be pleased, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0173,止まる,とまる,to stop (intransitive),"simple minimalist illustration of to stop (intransitive), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0174,停める,とめる,to park (vehicle),"simple minimalist illustration of to park (vehicle), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0175,無理する,むりする,to overwork,"simple minimalist illustration of to overwork, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0176,分ける,わける,to separate,"simple minimalist illustration of to separate, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0177,渡す,わたす,to hand out,"simple minimalist illustration of to hand out, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0178,練習する,れんしゅうする,to practice,"simple minimalist illustration of to practice, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0179,溢れる,あふれる,to overflow,"simple minimalist illustration of to overflow, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0180,謝る,あやまる,to apologize,"simple minimalist illustration of to apologize, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0181,温める,あたためる,to warm up (food),"simple minimalist illustration of to warm up (food), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0182,痛む,いたむ,to hurt,"simple minimalist illustration of to hurt, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0183,炒める,いためる,to stir-fry,"simple minimalist illustration of to stir-fry, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0184,打つ,うつ,to hit,"simple minimalist illustration of to hit, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0185,落とす,おとす,to drop,"simple minimalist illustration of to drop, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0186,掛ける,かける,to hang (clothes),"simple minimalist illustration of to hang (clothes), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0187,片付ける,かたづける,to tidy up,"simple minimalist illustration of to tidy up, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0188,乾く,かわく,to dry (intransitive),"simple minimalist illustration of to dry (intransitive), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0189,蹴る,ける,to kick,"simple minimalist illustration of to kick, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0190,転ぶ,ころぶ,to fall down,"simple minimalist illustration of to fall down, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0191,相談する,そうだんする,to consult,"simple minimalist illustration of to consult, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0192,探す,さがす,to search,"simple minimalist illustration of to search, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0193,質問する,しつもんする,to ask a question,"simple minimalist illustration of to ask a question, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0194,叱る,しかる,to scold,"simple minimalist illustration of to scold, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0195,咳をする,せきをする,to cough,"simple minimalist illustration of to cough, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0196,滑る,すべる,to slip,"simple minimalist illustration of to slip, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0197,畳む,たたむ,to fold,"simple minimalist illustration of to fold, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0198,頼む,たのむ,to ask,"simple minimalist illustration of to ask, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0199,尋ねる,たずねる,to ask,"simple minimalist illustration of to ask, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0200,訪ねる,たずねる,to visit (person),"simple minimalist illustration of to visit (person), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0201,伝える,つたえる,to convey,"simple minimalist illustration of to convey, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0202,提出する,ていしゅつする,to submit,"simple minimalist illustration of to submit, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0203,跳ぶ,とぶ,to jump,"simple minimalist illustration of to jump, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0204,捕る,とる,to catch,"simple minimalist illustration of to catch, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0205,治る,なおる,to heal,"simple minimalist illustration of to heal, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0206,投げる,なげる,to throw,"simple minimalist illustration of to throw, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0207,伸ばす,のばす,to stretch,"simple minimalist illustration of to stretch, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0208,貼る,はる,to stick,"simple minimalist illustration of to stick, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0209,掃く,はく,to sweep,"simple minimalist illustration of to sweep, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0210,吐く,はく,to vomit,"simple minimalist illustration of to vomit, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0211,腫れる,はれる,to swell,"simple minimalist illustration of to swell, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
