Verb ID,Kanji,Kana,Meaning,Bing Cartoon Prompt
n5_v_0018,泳ぐ,およぐ,to swim,"cute cartoon illustration of person to swim, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0019,下ろす,おろす,to withdraw,"cute cartoon illustration of person to withdraw, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0020,終わる,おわる,to finish,"cute cartoon illustration of person to finish, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0021,買う,かう,to buy,"cute cartoon illustration of person to buy, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0022,返す,かえす,to give back, return,"cute cartoon illustration of person to give back, return, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0023,帰る,かえる,to go home, return,"cute cartoon illustration of person to go home, return, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0024,掛かる,かかる,to take, cost (time or money),"cute cartoon illustration of person to take, cost (time or money), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0025,書く,かく,to write, draw, paint,"cute cartoon illustration of person to write, draw, paint, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0026,貸す,かす,to lend,"cute cartoon illustration of person to lend, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0027,勝つ,かつ,to win,"cute cartoon illustration of person to win, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0028,被る,かぶる,to put on (a hat, etc.),"cute cartoon illustration of person to put on (a hat, etc.), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0029,頑張る,がんばる,to do one's best,"cute cartoon illustration of person to do one's best, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0030,聞く,きく,to hear, listen,"cute cartoon illustration of person to hear, listen, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0031,切る,きる,to cut, slice,"cute cartoon illustration of person to cut, slice, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0032,消す,けす,to turn off,"cute cartoon illustration of person to turn off, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0033,触る,さわる,to touch,"cute cartoon illustration of person to touch, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0034,知る,しる,to get to know,"cute cartoon illustration of person to get to know, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0035,吸う,すう,to breathe in; inhale,"cute cartoon illustration of person to breathe in; inhale, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0036,住む,すむ,to live; reside,"cute cartoon illustration of person to live; reside, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0037,座る,すわる,to sit down,"cute cartoon illustration of person to sit down, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0038,出す,だす,to take out, hand in, send,"cute cartoon illustration of person to take out, hand in, send, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0039,立つ,たつ,to stand up,"cute cartoon illustration of person to stand up, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0040,使う,つかう,to use,"cute cartoon illustration of person to use, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0041,着く,つく,to arrive,"cute cartoon illustration of person to arrive, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0042,作る,つくる,to make,"cute cartoon illustration of person to make, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0043,連れて行く,つれていく,to take (someone),"cute cartoon illustration of person to take (someone), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0044,手伝う,てつだう,to help,"cute cartoon illustration of person to help, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0045,泊まる,とまる,to stay,"cute cartoon illustration of person to stay, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0046,取る,とる,to take,"cute cartoon illustration of person to take, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0047,撮る,とる,to take (a photo),"cute cartoon illustration of person to take (a photo), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0048,年を取る,としをとる,to grow old,"cute cartoon illustration of person to grow old, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0049,直す,なおす,to repair,"cute cartoon illustration of person to repair, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0050,無くす,なくす,to lose,"cute cartoon illustration of person to lose, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0051,習う,ならう,to learn,"cute cartoon illustration of person to learn, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0052,なる,なる,to become,"cute cartoon illustration of person to become, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0053,脱ぐ,ぬぐ,to take off,"cute cartoon illustration of person to take off, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0054,登る,のぼる,to climb,"cute cartoon illustration of person to climb, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0055,飲む,のむ,to drink,"cute cartoon illustration of person to drink, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0056,乗る,のる,to ride,"cute cartoon illustration of person to ride, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0057,入る,はいる,to enter,"cute cartoon illustration of person to enter, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0058,履く,はく,to put on,"cute cartoon illustration of person to put on, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0059,働く,はたらく,to work,"cute cartoon illustration of person to work, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0060,話す,はなす,to speak,"cute cartoon illustration of person to speak, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0061,払う,はらう,to pay,"cute cartoon illustration of person to pay, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0062,弾く,ひく,to play (instrument),"cute cartoon illustration of person to play (instrument), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0063,引く,ひく,to pull,"cute cartoon illustration of person to pull, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0064,降る,ふる,to fall (rain/snow),"cute cartoon illustration of person to fall (rain/snow), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0065,曲がる,まがる,to turn,"cute cartoon illustration of person to turn, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0066,待つ,まつ,to wait,"cute cartoon illustration of person to wait, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0067,回す,まわす,to turn,"cute cartoon illustration of person to turn, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0068,持つ,もつ,to hold,"cute cartoon illustration of person to hold, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0069,持って行く,もっていく,to take (something),"cute cartoon illustration of person to take (something), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0070,もらう,もらう,to receive,"cute cartoon illustration of person to receive, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0071,役に立つ,やくにたつ,to be useful,"cute cartoon illustration of person to be useful, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0072,休む,やすむ,to rest,"cute cartoon illustration of person to rest, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0073,呼ぶ,よぶ,to call,"cute cartoon illustration of person to call, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0074,読む,よむ,to read,"cute cartoon illustration of person to read, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0075,分かる,わかる,to understand,"cute cartoon illustration of person to understand, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0076,渡る,わたる,to cross,"cute cartoon illustration of person to cross, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0077,開ける,あける,to open,"cute cartoon illustration of person to open, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0078,上げる,あげる,to give,"cute cartoon illustration of person to give, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0079,集める,あつめる,to collect,"cute cartoon illustration of person to collect, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0080,浴びる,あびる,to bathe,"cute cartoon illustration of person to bathe, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0081,いる,いる,to exist (animate),"cute cartoon illustration of person to exist (animate), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0082,入れる,いれる,to put in,"cute cartoon illustration of person to put in, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0083,生まれる,うまれる,to be born,"cute cartoon illustration of person to be born, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0084,起きる,おきる,to get up,"cute cartoon illustration of person to get up, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0085,教える,おしえる,to teach; to tell,"cute cartoon illustration of person to teach; to tell, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0086,覚える,おぼえる,to memorize,"cute cartoon illustration of person to memorize, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0087,降りる,おりる,to get off,"cute cartoon illustration of person to get off, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0088,変える,かえる,to change,"cute cartoon illustration of person to change, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0089,かける,かける,to put on,"cute cartoon illustration of person to put on, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0090,借りる,かりる,to borrow,"cute cartoon illustration of person to borrow, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0091,考える,かんがえる,to think,"cute cartoon illustration of person to think, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0092,着る,きる,to wear,"cute cartoon illustration of person to wear, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0093,気をつける,きをつける,to be careful,"cute cartoon illustration of person to be careful, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0094,くれる,くれる,to give (to me/us),"cute cartoon illustration of person to give (to me/us), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0095,閉める,しめる,to close,"cute cartoon illustration of person to close, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0096,調べる,しらべる,to investigate,"cute cartoon illustration of person to investigate, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0097,捨てる,すてる,to throw away,"cute cartoon illustration of person to throw away, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0098,食べる,たべる,to eat,"cute cartoon illustration of person to eat, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0099,足りる,たりる,to be enough,"cute cartoon illustration of person to be enough, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0100,疲れる,つかれる,to get tired,"cute cartoon illustration of person to get tired, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0101,つける,つける,to turn on,"cute cartoon illustration of person to turn on, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0102,出かける,でかける,to go out,"cute cartoon illustration of person to go out, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0103,できる,できる,to be able to,"cute cartoon illustration of person to be able to, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0104,出る,でる,to leave,"cute cartoon illustration of person to leave, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0105,止める,とめる,to stop,"cute cartoon illustration of person to stop, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0106,寝る,ねる,to sleep,"cute cartoon illustration of person to sleep, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0107,乗り換える,のりかえる,to transfer,"cute cartoon illustration of person to transfer, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0108,始める,はじめる,to start,"cute cartoon illustration of person to start, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0109,負ける,まける,to lose,"cute cartoon illustration of person to lose, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0110,見せる,みせる,to show,"cute cartoon illustration of person to show, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0111,見る,みる,to see,"cute cartoon illustration of person to see, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0112,迎える,むかえる,to welcome,"cute cartoon illustration of person to welcome, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0113,辞める,やめる,to quit,"cute cartoon illustration of person to quit, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0114,忘れる,わすれる,to forget,"cute cartoon illustration of person to forget, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0115,来る,くる,to come,"cute cartoon illustration of person to come, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0116,する,する,to do,"cute cartoon illustration of person to do, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0117,案内する,あんないする,to guide,"cute cartoon illustration of person to guide, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0118,運転する,うんてんする,to drive,"cute cartoon illustration of person to drive, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0119,買い物する,かいものする,to go shopping,"cute cartoon illustration of person to go shopping, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0120,結婚する,けっこんする,to marry,"cute cartoon illustration of person to marry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0121,見学する,けんがくする,to tour,"cute cartoon illustration of person to tour, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0122,研究する,けんきゅうする,to research,"cute cartoon illustration of person to research, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0123,コピーする,コピーする,to copy,"cute cartoon illustration of person to copy, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0124,散歩する,さんぽする,to take a walk,"cute cartoon illustration of person to take a walk, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0125,残業する,ざんぎょうする,to work overtime,"cute cartoon illustration of person to work overtime, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0126,修理する,しゅうりする,to repair,"cute cartoon illustration of person to repair, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0127,違う,ちがう,to be different,"cute cartoon illustration of person to be different, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0128,出張する,しゅっちょうする,to go on a business trip,"cute cartoon illustration of person to go on a business trip, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0129,仕事する,しごとする,to work,"cute cartoon illustration of person to work, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0130,紹介する,しょうかいする,to introduce,"cute cartoon illustration of person to introduce, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0131,始まる,はじまる,to begin,"cute cartoon illustration of person to begin, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0132,食事する,しょくじする,to have a meal,"cute cartoon illustration of person to have a meal, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0133,戻る,もどる,to return,"cute cartoon illustration of person to return, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0134,心配する,しんぱいする,to worry,"cute cartoon illustration of person to worry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0135,ドライブする,どらいぶする,to drive (for pleasure),"cute cartoon illustration of person to drive (for pleasure), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0136,説明する,せつめいする,to explain,"cute cartoon illustration of person to explain, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0137,発表する,はっぴょうする,to announce,"cute cartoon illustration of person to announce, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0138,洗濯する,せんたくする,to do laundry,"cute cartoon illustration of person to do laundry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0139,答える,こたえる,to answer,"cute cartoon illustration of person to answer, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0140,掃除する,そうじする,to clean,"cute cartoon illustration of person to clean, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0141,助かる,たすかる,to be saved,"cute cartoon illustration of person to be saved, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0142,電話する,でんわする,to call,"cute cartoon illustration of person to call, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0143,並べる,ならべる,to arrange,"cute cartoon illustration of person to arrange, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0144,勉強する,べんきょうする,to study,"cute cartoon illustration of person to study, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0145,化粧する,けしょうする,to put on makeup,"cute cartoon illustration of person to put on makeup, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0146,予約する,よやくする,to reserve,"cute cartoon illustration of person to reserve, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0147,決める,きめる,to decide,"cute cartoon illustration of person to decide, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0148,留学する,りゅうがくする,to study abroad,"cute cartoon illustration of person to study abroad, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0149,笑う,わらう,to laugh,"cute cartoon illustration of person to laugh, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0150,連れて来る,つれてくる,to bring (someone),"cute cartoon illustration of person to bring (someone), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0151,泣く,なく,to cry,"cute cartoon illustration of person to cry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0152,持って来る,もってくる,to bring (something),"cute cartoon illustration of person to bring (something), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0153,けんかする,けんかする,to fight,"cute cartoon illustration of person to fight, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0154,走る,はしる,to run,"cute cartoon illustration of person to run, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0155,踊る,おどる,to dance,"cute cartoon illustration of person to dance, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0156,休憩する,きゅうけいする,to take a break,"cute cartoon illustration of person to take a break, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0157,死ぬ,しぬ,to die,"cute cartoon illustration of person to die, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0158,旅行する,りょこうする,to travel,"cute cartoon illustration of person to travel, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0159,伺う,うかがう,to visit (humble),"cute cartoon illustration of person to visit (humble), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0160,料理する,りょうりする,to cook,"cute cartoon illustration of person to cook, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0161,茹でる,ゆでる,to boil (food),"cute cartoon illustration of person to boil (food), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0162,沸く,わく,to boil (water),"cute cartoon illustration of person to boil (water), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0163,遅れる,おくれる,to be late,"cute cartoon illustration of person to be late, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0164,干す,ほす,to dry,"cute cartoon illustration of person to dry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0165,咲く,さく,to bloom,"cute cartoon illustration of person to bloom, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0166,守る,まもる,to protect,"cute cartoon illustration of person to protect, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0168,空く,すく,to be empty,"cute cartoon illustration of person to be empty, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0169,飼う,かう,to keep,"cute cartoon illustration of person to keep, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0170,気にする,きにする,to care about,"cute cartoon illustration of person to care about, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0171,準備する,じゅんびする,to prepare,"cute cartoon illustration of person to prepare, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0172,喜ぶ,よろこぶ,to be pleased,"cute cartoon illustration of person to be pleased, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0173,止まる,とまる,to stop (intransitive),"cute cartoon illustration of person to stop (intransitive), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0174,停める,とめる,to park (vehicle),"cute cartoon illustration of person to park (vehicle), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0175,無理する,むりする,to overwork,"cute cartoon illustration of person to overwork, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0176,分ける,わける,to separate,"cute cartoon illustration of person to separate, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0177,渡す,わたす,to hand out,"cute cartoon illustration of person to hand out, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0178,練習する,れんしゅうする,to practice,"cute cartoon illustration of person to practice, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0179,溢れる,あふれる,to overflow,"cute cartoon illustration of person to overflow, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0180,謝る,あやまる,to apologize,"cute cartoon illustration of person to apologize, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0181,温める,あたためる,to warm up (food),"cute cartoon illustration of person to warm up (food), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0182,痛む,いたむ,to hurt,"cute cartoon illustration of person to hurt, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0183,炒める,いためる,to stir-fry,"cute cartoon illustration of person to stir-fry, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0184,打つ,うつ,to hit,"cute cartoon illustration of person to hit, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0185,落とす,おとす,to drop,"cute cartoon illustration of person to drop, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0186,掛ける,かける,to hang (clothes),"cute cartoon illustration of person to hang (clothes), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0187,片付ける,かたづける,to tidy up,"cute cartoon illustration of person to tidy up, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0188,乾く,かわく,to dry (intransitive),"cute cartoon illustration of person to dry (intransitive), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0189,蹴る,ける,to kick,"cute cartoon illustration of person to kick, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0190,転ぶ,ころぶ,to fall down,"cute cartoon illustration of person to fall down, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0191,相談する,そうだんする,to consult,"cute cartoon illustration of person to consult, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0192,探す,さがす,to search,"cute cartoon illustration of person to search, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0193,質問する,しつもんする,to ask a question,"cute cartoon illustration of person to ask a question, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0194,叱る,しかる,to scold,"cute cartoon illustration of person to scold, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0195,咳をする,せきをする,to cough,"cute cartoon illustration of person to cough, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0196,滑る,すべる,to slip,"cute cartoon illustration of person to slip, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0197,畳む,たたむ,to fold,"cute cartoon illustration of person to fold, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0198,頼む,たのむ,to ask,"cute cartoon illustration of person to ask, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0199,尋ねる,たずねる,to ask,"cute cartoon illustration of person to ask, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0200,訪ねる,たずねる,to visit (person),"cute cartoon illustration of person to visit (person), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0201,伝える,つたえる,to convey,"cute cartoon illustration of person to convey, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0202,提出する,ていしゅつする,to submit,"cute cartoon illustration of person to submit, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0203,跳ぶ,とぶ,to jump,"cute cartoon illustration of person to jump, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0204,捕る,とる,to catch,"cute cartoon illustration of person to catch, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0205,治る,なおる,to heal,"cute cartoon illustration of person to heal, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0206,投げる,なげる,to throw,"cute cartoon illustration of person to throw, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0207,伸ばす,のばす,to stretch,"cute cartoon illustration of person to stretch, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0208,貼る,はる,to stick,"cute cartoon illustration of person to stick, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0209,掃く,はく,to sweep,"cute cartoon illustration of person to sweep, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0210,吐く,はく,to vomit,"cute cartoon illustration of person to vomit, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0211,腫れる,はれる,to swell,"cute cartoon illustration of person to swell, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0212,冷やす,ひやす,to cool,"cute cartoon illustration of person to cool, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0213,拾う,ひろう,to pick up,"cute cartoon illustration of person to pick up, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0214,褒める,ほめる,to praise,"cute cartoon illustration of person to praise, simple anime style, kawaii character, colorful, white background, friendly and educational"
