id,japanese,english,type,subtype
duo_305,"よびます","(will) call, calls, going to call",verb,
duo_306,"ゆっくりします","going to relax",verb,
duo_307,"ツアー","tour",noun,
duo_308,"インフォメーション","information desk",noun,
duo_309,"八百","800",noun,
duo_310,"はらいます","pay, going to pay, will pay",verb,
duo_311,"エスカレーター","escalator",noun,
duo_313,"三ばん","number three",noun,
duo_314,"のりかえます","switching, going to transfer, are switching",verb,
duo_315,"かいそく","rapid-service",noun,
duo_316,"二ばん","number two",noun,
duo_317,"オレンジ","orange",noun,
duo_319,"一ばん","number one",noun,
duo_320,"きっぷうりば","ticket area",noun,
duo_321,"モノレール","monorail",noun,
duo_322,"三百","300, three hundred",noun,
duo_323,"のります","take, ride, getting on",verb,
duo_325,"ワイン","wine",noun,
duo_326,"ステーキ","steak",noun,
duo_327,"かんとく","director",noun,
duo_328,"ポップコーン","popcorn",noun,
duo_330,"ホットドッグ","hot dog",noun,
duo_331,"よやくします","am going to reserve, book, will reserve",verb,
duo_333,"スーツ","suit",noun,
duo_335,"うでどけい","watch",noun,
duo_336,"ネックレス","necklace",noun,
duo_338,"げんき","well, lively, fine",adjective,
duo_340,"人","people, human, someone",noun,
duo_342,"カウントダウン","countdown",noun,
duo_343,"クリスマス","Christmas",noun,
duo_345,"イルミネーション","lights display",noun,
duo_346,"十二月","December",counter,
duo_347,"パレード","parade",noun,
duo_350,"十月","October",counter,
duo_352,"ダンス","dance",noun,
duo_353,"コミュニティーセンター","community center, Community center",noun,
duo_356,"食べませんか","do you want to eat, won't you eat, would you like to eat",verb,
duo_357,"チョコバナナ","chocolate covered bananas, chocolate covered banana",noun,
duo_358,"食べ物","food",noun,
duo_361,"はなびたいかい","fireworks display",noun,
duo_362,"あそびませんか","play",verb,
duo_364,"こんしゅうまつ","this weekend",noun,
duo_365,"きじ","post",noun,
duo_366,"ブログ","blog",noun,
duo_368,"作ります","going to make, make, (I) make",verb,
duo_369,"書きます","will write",verb,
duo_370,"バレエ","ballet",noun,
duo_372,"パフォーマンス","performance",noun,
duo_373,"おどります","dance, going to dance",verb,
duo_374,"はじまります","is starting, starts, begins",verb,
duo_376,"かんじ","kanji, Chinese character, Chinese characters",noun,
duo_379,"ピアノ","piano",noun,
duo_380,"九時間","nine hours",counter,
duo_381,"がっき","instrument",noun,
duo_384,"何時間","how many hours",noun,
duo_385,"れんしゅう","practice",noun,
duo_386,"バドミントン","badminton",noun,
duo_388,"四時間","for four hours",counter,
duo_389,"バー","bar",noun,
duo_391,"さいご","last",noun,
duo_393,"クライアント","client",noun,
duo_394,"プレゼン","presentation",noun,
duo_396,"まで","through, even, before",particle,
duo_397,"ひる休み","lunch break",noun,
duo_398,"しょくどう","cafeteria",noun,
duo_399,"二階","the second floor",counter,
duo_400,"チャーハン","fried rice",noun,
duo_401,"フライドポテト","french fries",noun,
duo_403,"プリンター","printer",noun,
duo_404,"から","because, starting, through",particle,
duo_407,"うけつけ","front desk",noun,
duo_408,"よろしくおねがいします","nice to meet you, glad to work with you",phrase,
duo_410,"ドキュメンタリー","documentary",noun,
duo_411,"ポスター","poster",noun,
duo_412,"はいゆう","actor",noun,
duo_413,"見ません","does not see, do not watch, does not look at",verb,
duo_414,"カードゲーム","card game",noun,
duo_415,"むずかしい","difficult",adjective,
duo_416,"しません","do not, will not, does not",verb,
duo_417,"パズル","puzzle",noun,
duo_421,"ききません","don't really listen to",verb,
duo_422,"ポップス","pop",noun,
duo_423,"ノンフィクション","non-fiction",noun,
duo_426,"あまり","(not) a lot of, (not) so, (not) too",adverb,
duo_427,"話","talking, conversation, chat",noun,
duo_431,"チョコミント","mint chocolate chip",noun,
duo_433,"バニラ","vanilla",noun,
duo_435,"きいろい","yellow",adjective,
duo_436,"ショー","show",noun,
duo_438,"見ましょうか","should we see",verb,
duo_439,"ゴーカート","go-kart",noun,
duo_441,"すきな","favorite",adjective,
duo_442,"アトラクション","attraction",noun,
duo_443,"こわい","scary",adjective,
duo_445,"三千","3,000",noun,
duo_447,"いりぐち","entrance",noun,
duo_449,"つまらない","boring",adjective,
duo_450,"はくぶつかん","museum",noun,
duo_451,"ゆうえんち","theme park",noun,
duo_453,"ジム","gym",noun,
duo_454,"うんどうします","exercise, am going to exercise",verb,
duo_455,"せんしゅ","athlete, athletes, player",noun,
duo_456,"プロの","professional, pro",adjective,
duo_457,"チーム","team",noun,
duo_459,"カメラ","camera",noun,
duo_461,"りょこうします","travel, travels",verb,
duo_463,"ごぜん","a.m., morning",noun,
duo_464,"うんてんします","drive",verb,
duo_465,"ナビ","GPS",noun,
duo_466,"うんてんしゅ","driver",noun,
duo_467,"あらいます","wash, going to wash, washes",verb,
duo_468,"ほんやくか","translator",noun,
duo_469,"ほんやくします","translate",verb,
duo_470,"としょかん","library",noun,
duo_471,"じしょ","dictionary",noun,
duo_472,"つかいます","will use, uses",verb,
duo_473,"マネージャー","manager",noun,
duo_474,"かいしゃ","company",noun,
duo_475,"どうりょう","coworker",noun,
duo_478,"水曜日","Wednesday, Wednesdays",noun,
duo_479,"プロジェクト","project",noun,
duo_480,"しめきり","deadline",noun,
duo_481,"ななつ","seven",counter,
duo_482,"むっつ","six",counter,
duo_485,"火曜日","Tuesday, Tuesdays",noun,
duo_486,"しつもん","question",noun,
duo_487,"はやく","fast, early, quickly",adverb,
duo_488,"いつつ","five",counter,
duo_489,"テスト","test",noun,
duo_490,"何曜日","what day",noun,
duo_492,"スミス","Smith",noun,
duo_493,"山田","Yamada",noun,
duo_494,"たくさん","a lot of",adverb,
duo_496,"スペインご","Spanish",noun,
duo_497,"きょうしつ","classroom",noun,
duo_498,"ぶたにく","pork",noun,
duo_499,"しょっぱい","salty",adjective,
duo_500,"コーラ","cola",noun,
duo_501,"飲みません","(I) won't drink, don't take, (I) do not drink",verb,
duo_502,"ビール","beer",noun,
duo_503,"とんかつ","pork cutlet",noun,
duo_504,"しお","salt",noun,
duo_505,"ソース","sauce",noun,
duo_506,"つかいましょう","we should use",verb,
duo_507,"なま","raw",noun,
duo_508,"とうふ","(the) tofu, bean curd, tofu",noun,
duo_510,"魚","fish",noun,
duo_511,"でも","but, however, neither",other,conjunction
duo_512,"ぎゅうどん","beef bowl",noun,
duo_517,"卵","egg, eggs",noun,
duo_520,"ひま","available, bored, free",adjective,
duo_521,"木曜日","Thursday, Thursdays",noun,
duo_522,"つくりましょうか","shall I make, should we make, should I make",verb,
duo_524,"四つ","four (things), four",counter,
duo_528,"いちご","strawberry, strawberries",noun,
duo_529,"クッキー","cookies, cookie",noun,
duo_530,"三つ","three",counter,
duo_532,"みどり","green",noun,
duo_533,"一つ","one (thing), one",counter,
duo_534,"カップケーキ","cupcake",noun,
duo_539,"あまい","sweet",adjective,
duo_541,"ケーキや","cake shop",noun,
duo_543,"もの","stuff",noun,
duo_544,"みじかい","short",adjective,
duo_546,"月曜日","Monday",noun,
duo_547,"まちます","wait for",verb,
duo_548,"みそかつ","miso pork cutlet",noun,
duo_549,"にわ","garden",noun,
duo_550,"かんこう","sightseeing",noun,
duo_551,"しろ","castle",noun,
duo_552,"せき","seat",noun,
duo_553,"べんり","convenient",adjective,
duo_554,"にのります","get on, going to ride, take",verb,
duo_557,"日本りょうり","Japanese food",noun,
duo_559,"お母さん","mom, mother, (your) mom",noun,
duo_560,"すしや","sushi restaurant",noun,
duo_562,"りょうしん","parents",noun,
duo_563,"お父さん","dad, (your) dad, (your) father",noun,
duo_564,"食べましょう","we should eat",verb,
duo_565,"にく","meat",noun,
duo_566,"フランスりょうり","French food",noun,
duo_567,"かえりましょう","we should return",verb,
duo_568,"休みましょう","we should rest",verb,
duo_570,"ライオン","lion",noun,
duo_571,"とりましょう","we should take",verb,
duo_572,"ひろば","plaza",noun,
duo_574,"え","painting",noun,
duo_575,"で","as a, under, through",particle,
duo_576,"見ましょう","let's see, let's view, let's watch",verb,
duo_581,"会います","am going to meet up, (will) meet, (is) meeting",verb,
duo_582,"スーツケース","suitcase",noun,
duo_584,"会いましょう","let's meet, see you",verb,
duo_589,"来月","next month",noun,
duo_593,"りょうり","cuisine, dish, food",noun,
duo_594,"買い物","shopping",noun,
duo_596,"たいへん","tough, very, hard",adjective,
duo_597,"ストレッチ","stretch",noun,
duo_598,"にはいります","am going to take, take, going to enroll",verb,
duo_599,"おふろ","bath",noun,
duo_600,"せんたく","laundry",noun,
duo_602,"いろいろ","all sorts of",adverb,
duo_606,"何","anything, which, what",pronoun,
duo_607,"がっこう","school",noun,
duo_608,"かじ","chore",noun,
duo_612,"かえります","am returning, will return home, returning",verb,
duo_613,"ひとり","one",counter,
duo_616,"ソウル","Seoul",noun,
duo_617,"かんこくご","Korean",noun,
duo_618,"ふたり","two",counter,
duo_619,"マレーシア","Malaysia",noun,
duo_620,"えいご","English",noun,
duo_621,"おにいさん","big brother, older brothers, older brother",noun,
duo_622,"いもうとさん","younger sister",noun,
duo_625,"たいわん","Taiwan",noun,
duo_627,"コーチ","coach",noun,
duo_629,"おねえさん","big sister, big sisters, older sisters",noun,
duo_630,"が","(softens the tone), (indicates the subject), but",particle,
duo_634,"おとうとさん","younger brother",noun,
duo_635,"さむい","cold",adjective,
duo_637,"ココア","cocoa",noun,
duo_638,"おんせん","hot spring",noun,
duo_639,"ふゆ","winter",noun,
duo_640,"こんばん","this evening, tonight",noun,
duo_642,"くもり","cloudy weather, cloudiness",noun,
duo_644,"あき","fall",noun,
duo_646,"はなび","fireworks",noun,
duo_647,"あつい","hot, thick",adjective,
duo_648,"プール","swimming pools, pools, pool",noun,
duo_649,"七月","July",counter,
duo_651,"なつ","summer",noun,
duo_652,"日","day, the sun, (a) day",noun,
duo_655,"はる","spring",noun,
duo_660,"くすりを飲みます","take",verb,
duo_661,"休みます","rest, take a break, absent (from)",verb,
duo_664,"ごかぞく","your family, family",noun,
duo_668,"何さい","how old",noun,
duo_669,"〇","0, zero",noun,
duo_670,"九","nine",noun,
duo_673,"びょういん","hospital",noun,
duo_674,"けいさつ","police",noun,
duo_675,"あぶない","dangerous",adjective,
duo_677,"すわります","sit, going to sit",verb,
duo_680,"おみやげ","souvenir",noun,
duo_685,"山","mountain, mount, mountains",noun,
duo_687,"ラーメンや","ramen shop",noun,
duo_688,"ピザや","pizza shop",noun,
duo_689,"はらじゅく","Harajuku",noun,
duo_690,"デザート","dessert",noun,
duo_691,"あれ","hey, that (one) (over there), what",pronoun,
duo_693,"おてら","temple",noun,
duo_695,"な","do not, (adjective ending), don't",particle,
duo_696,"ところ","place",noun,
duo_699,"しゅうてん","final stop",noun,
duo_700,"時間","time, hour, hours",noun,
duo_701,"分","minute, minutes",noun,
duo_704,"はやい","fast",adjective,
duo_705,"十分","sufficient, enough, adequate",counter,
duo_706,"どの","any, each, which",other,determiner
duo_707,"もうすぐ","soon, almost, shortly",adverb,
duo_708,"あさくさ","Asakusa",noun,
duo_709,"うえのこうえん","Ueno Park",noun,
duo_715,"あきはばら","Akihabara",noun,
duo_720,"いつ","when, what time",adverb,
duo_721,"つくえ","desk",noun,
duo_723,"れいぞうこ","fridge",noun,
duo_724,"いす","chair, chairs",noun,
duo_725,"テーブル","table, tables",noun,
duo_726,"でんしレンジ","microwave",noun,
duo_727,"ふとん","futon, futons",noun,
duo_728,"たぶん","probably",adverb,
duo_730,"シャワー","shower, showers",noun,
duo_731,"そうじき","vacuum cleaner",noun,
duo_734,"せまい","cramped",adjective,
duo_735,"リビング","living room",noun,
duo_740,"まだ","still, yet, too",adverb,
duo_741,"ひろい","spacious",adjective,
duo_742,"いえ","house",noun,
duo_743,"れんあい","romance",noun,
duo_744,"コメディ","comedy",noun,
duo_745,"ほんとうですか","really",phrase,
duo_746,"アクション","action",noun,
duo_747,"アメリカの","... of the US, American, ... of the United States",noun,
duo_748,"どんな","any, what kind of, what (sort of)",other,determiner
duo_749,"ファンタジー","fantasy",noun,
duo_750,"ホラー","horror",noun,
duo_751,"がすきですか","do you like",phrase,
duo_753,"ミステリー","mystery",noun,
duo_754,"Kポップ","K-pop",noun,
duo_755,"日本の","Japan's, of Japan, Japanese",noun,
duo_757,"ベトナム","Vietnam",noun,
duo_758,"かんこく","Korea, korean",noun,
duo_760,"ちゅうごく","China",noun,
duo_761,"さんは","Mr./Ms.",noun,
duo_762,"かれし","boyfriend",noun,
duo_768,"ダニエル","Daniel",noun,
duo_769,"はしります","runs, run",verb,
duo_771,"パスタ","pasta",noun,
duo_772,"ねます","sleep, go to sleep, will go to sleep",verb,
duo_773,"シャワーをあびます","take a shower",verb,
duo_774,"メールを読みます","check emails",verb,
duo_777,"バレーボール","volleyball",noun,
duo_778,"まいしゅう","every week",noun,
duo_779,"四時","four o'clock",counter,
duo_782,"何時に","(at) what time",noun,
duo_784,"新聞","newspaper",noun,
duo_785,"ラジオ","radio",noun,
duo_787,"いつも","always, all the time",adverb,
duo_788,"でぐち","exit",noun,
duo_789,"じはんき","vending machines, vending machine",noun,
duo_790,"コインロッカー","storage lockers",noun,
duo_791,"ちかい","close",adjective,
duo_795,"コンセント","outlet",noun,
duo_796,"とおい","far",adjective,
duo_797,"でんわ","phone",noun,
duo_798,"ちか","underground level",noun,
duo_801,"おてあらい","restroom",noun,
duo_802,"wifi","wifi",noun,
duo_804,"ゴミばこ","trash can",noun,
duo_805,"のりかえ","transfer",noun,
duo_809,"いっかい","first floor",noun,
duo_810,"ホーム","platform",noun,
duo_812,"じゅうどう","judo",noun,
duo_813,"テニス","tennis",noun,
duo_814,"話します","speaks, speak, tells",verb,
duo_815,"日曜日","Sunday",noun,
duo_817,"からて","karate",noun,
duo_821,"スポーツ","sports",noun,
duo_824,"ドラマ","drama",noun,
duo_825,"あそびます","hang out, hangs out, (I) will play",verb,
duo_827,"しゅうまつ","weekend",noun,
duo_829,"アイスコーヒー","iced coffee",noun,
duo_831,"こうちゃ","black teas, black tea, tea",noun,
duo_832,"小さい","small, little",adjective,
duo_833,"すこし","a bit",adverb,
duo_835,"サラダ","salad, salads",noun,
duo_837,"大きい","big",adjective,
duo_838,"おにぎり","rice balls, rice ball, onigiri",noun,
duo_839,"よっつ","four",counter,
duo_840,"ええと","um",other,interjection
duo_841,"みっつ","three",counter,
duo_843,"ふたつ","two",counter,
duo_844,"あ","ah, oh",other,interjection
duo_845,"ひとつ","one",counter,
duo_846,"水","water, waters",noun,
duo_847,"レストラン","restaurant",noun,
duo_849,"うどん","udon",noun,
duo_850,"てんぷら","tempura",noun,
duo_852,"たかい","expensive, big, tall",adjective,
duo_854,"みせ","store",noun,
duo_856,"千","thousand",noun,
duo_858,"ネクタイ","tie, necktie, ties",noun,
duo_859,"えん","yen",noun,
duo_860,"やすい","cheap, inexpensive",adjective,
duo_861,"百","hundred",noun,
duo_862,"あの","those, ah, that (over there)",other,determiner
duo_863,"あおい","blue",adjective,
duo_865,"ドレス","dress",noun,
duo_866,"すてき","lovely, nice, cute",adjective,
duo_870,"新しい","new, newer",adjective,
duo_871,"ね","isn't it?",particle,
duo_872,"ふく","clothes",noun,
duo_873,"ダサい","hideous",adjective,
duo_875,"さいふ","wallet",noun,
duo_876,"古い","old",adjective,
duo_878,"まいばん","every night",noun,
duo_880,"半","thirty",noun,
duo_881,"八","eight",noun,
duo_882,"べんとう","boxed lunch",noun,
duo_883,"ひるごはん","lunch",noun,
duo_884,"十二","twelve",noun,
duo_885,"十","ten",noun,
duo_886,"十一","eleven",noun,
duo_889,"時","o'clock",noun,
duo_893,"ジュース","juice",noun,
duo_895,"パン","bread",noun,
duo_896,"サンドイッチ","sandwich",noun,
duo_901,"やきゅう","baseball",noun,
duo_902,"ざっし","magazines",noun,
duo_903,"本","books",noun,
duo_905,"ニュース","news",noun,
duo_906,"おんがく","music",noun,
duo_909,"ジャズ","jazz",noun,
duo_914,"を","through, with, for",particle,
duo_917,"テレビ","TV",noun,
duo_919,"おっと","my husband",noun,
duo_920,"七","7, seven, seventh",noun,
duo_921,"あたまがいい","smart",adjective,
duo_924,"むすめ","my daughter",noun,
duo_925,"六","six",noun,
duo_927,"だいがくせい","college student",noun,
duo_929,"かんごし","nurse",noun,
duo_932,"五","5, five",noun,
duo_934,"かいしゃいん","office worker",noun,
duo_935,"あね","my older sister",noun,
duo_936,"四","four",noun,
duo_938,"さい","years old",noun,
duo_939,"いそがしい","busy",adjective,
duo_940,"エンジニア","engineer",noun,
duo_941,"父","dad",noun,
duo_942,"かぞく","family",noun,
duo_943,"母","mom, mother, my mom",noun,
duo_945,"とても","very",adverb,
duo_946,"きれい","clean",adjective,
duo_948,"トロント","Toronto",noun,
duo_950,"とし","years, cities, city",noun,
duo_952,"日本","Japan, Japanese",noun,
duo_956,"ニューヨーク","New York",noun,
duo_957,"も","even, any, also",particle,
duo_960,"私","I",pronoun,
duo_961,"ようこそ","welcome",phrase,
duo_964,"おなまえは","what's your name",noun,
duo_965,"かばん","bag",noun,
duo_966,"中山","Nakayama",noun,
duo_967,"田中","Tanaka",noun,
duo_968,"山口","Yamaguchi",noun,
duo_970,"の","for, 's, one",particle,
duo_972,"ちず","map",noun,
duo_973,"きっぷ","ticket",noun,
duo_976,"くうこう","airport",noun,
duo_977,"はん","thirty",noun,
duo_979,"ごろ","around, about",noun,
duo_980,"いま","now, current",noun,
duo_981,"一","one, an, a",noun,
duo_982,"二","two, 2",noun,
duo_983,"なんじ","what time",noun,
duo_984,"三","3, three, third",noun,
duo_985,"じ","o'clock",noun,
duo_986,"に","to, in, as (a)",particle,
duo_987,"いち","one, an",noun,
duo_990,"その","the, that, its",other,determiner
duo_993,"たなか","Tanaka",noun,
duo_996,"それら","they, them, those",pronoun,
duo_999,"しろい","white",adjective,
duo_1012,"コンビニ","convenience store",noun,
duo_1018,"にほんじん","Japanese",noun,
duo_1019,"カナダ","Canada",noun,
duo_1020,"アメリカじん","American",noun,
duo_1023,"ちいさい","small, little",adjective,
duo_1024,"にほん","Japan",noun,
duo_1026,"か","or, is it?, that",particle,
duo_1027,"いいえ","no",other,interjection
duo_1028,"はい","yes",other,interjection
